Division, Department, Course Number, Course Title
College of Engineering,BIOMEDICAL ENGINEERING,915,Computation and Informatics in Biology and Medicine 
College of Engineering,BIOMEDICAL ENGINEERING,990,Research and Thesis Dissertator status & cons inst 
College of Engineering,BIOMEDICAL ENGINEERING,999,Advanced Independent Study 
College of Engineering,BIOSTATISTICS & MED INFORMATIC,617,Health Information Systems 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,250,Process Synthesis 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,255,Introduction to Chemical Process Modeling
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,310,Chemical Process Thermodynamics
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,320,Introductory Transport Phenomena
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,324,Transport Phenomena Lab
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,426,Mass Transfer Operations
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,440,Chemical Engineering Materials 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,489,Honors in Research
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,520,Stem Cell Bioengineering
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,562,Special Topics in Chemical Engineering 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,575,Instrumental Analysis for Chemical Engineers
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,599,Special Problems
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,620,Intermediate Transport Phenomena
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,699,Advanced Independent Studies
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,783,Design of Biological Molecules 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,915,Computation and Informatics in Biology and Medicine
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,920,Seminar on Advances in Transport Phenomena 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,932,Biotechnology Training Program Seminar 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,961,Seminar-Chemical Engineering 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,990,Thesis-Research
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,290,Construction Systems 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,291,Problem Solving Using Computer Tools 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,299,Independent Study
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,310,Fluid Mechanics 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,311,Hydroscience
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,320,Environmental Engineering
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,322,Environmental Engineering Processes 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,330,Soil Mechanics 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,340,Structural Analysis I
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,357,An Introduction to Geographic Information Systems
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,370,Transportation Engineering 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,392,Building Information Modeling 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,395,Materials for Constructed Facilities
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,414,Hydrologic Design 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,423,Air Pollution Effects/ Measurement and Control 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,428,Water Treatment Plant Design 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,447,Concrete Structures I
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,489,Honors in Research
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,492,Integrated Project Estimating and Scheduling
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,496,Electrical Systems for Construction 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,498,Construction Project Management
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,522,Hazardous Waste Management 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,545,Steel Structures II 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,556,Remote Sensing Digital Image Processing
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,573,Geometric Design of Transport Facilities 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,578,Senior Capstone Design 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,579,Seminar-Transportation Engineering 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,609,Special Topics in Water Chemistry 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,619,Special Topics in Hydrology 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,631,Toxicants in the Environment: Sources/ Distribution/ Fate/ & Effects 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,635,Remediation Geotechnics 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,639,Special Topics in Geotechnical Engineering
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,641,Highway Bridges 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,649,Special Topics in Structural Engineering 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,679,Special Topics in Transportation and City Planning
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,698,Special Topics in Construction Engineering and Management 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,699,Independent Study
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,718,Water Resources Management Practicum Planning Seminar II 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,732,Unsaturated Soil Geoengineering 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,749,Special Topics in Structural Engineering 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,772,Practicum in Transportation Management and Policy
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,909,Seminar-Water Chemistry Research
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,919,Seminar-Hydraulic Engineering and Fluid Mechanics
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,929,Seminar-Environmental Engineering 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,939,Geotechnical Engineering Seminar 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,970,Colloquium in Transportation Management and Policy 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,990,Thesis Dissertator status 
College of Engineering,CHEMICAL & BIOLOGICAL ENGR,999,Advanced Independent Study 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,203,Signals/ Information/ and Computation 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,210,Introductory Experience in Electrical Engineering 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,219,Analytical Methods for Electromagnetics Engineering 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,220,Electrodynamics I 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,230,Circuit Analysis
College of Engineering,ELECTRICAL AND COMPUTER ENGR,252,Introduction to Computer Engineering 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,270,Circuits Laboratory I
College of Engineering,ELECTRICAL AND COMPUTER ENGR,271,Circuits Laboratory II
College of Engineering,ELECTRICAL AND COMPUTER ENGR,304,Electric Machines Laboratory 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,305,Semiconductor Properties Laboratory 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,306,Linear Active Circuits Laboratory 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,308,Nonlinear Electronic Circuits Laboratory 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,313,Optoelectronics Lab
College of Engineering,ELECTRICAL AND COMPUTER ENGR,315,Introductory Microprocessor Laboratory 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,317,Sensors Laboratory
College of Engineering,ELECTRICAL AND COMPUTER ENGR,321,Transmission Lines for Digital Applications 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,330,Signals and Systems
College of Engineering,ELECTRICAL AND COMPUTER ENGR,332,Feedback Control Systems
College of Engineering,ELECTRICAL AND COMPUTER ENGR,334,State Space Systems Analysis
College of Engineering,ELECTRICAL AND COMPUTER ENGR,335,Microelectronic Devices
College of Engineering,ELECTRICAL AND COMPUTER ENGR,340,Electronic Circuits I
College of Engineering,ELECTRICAL AND COMPUTER ENGR,342,Electronic Circuits II
College of Engineering,ELECTRICAL AND COMPUTER ENGR,352,Digital System Fundamentals
College of Engineering,ELECTRICAL AND COMPUTER ENGR,353,Introduction to Microprocessor Systems
College of Engineering,ELECTRICAL AND COMPUTER ENGR,354,Machine Organization and Programming
College of Engineering,ELECTRICAL AND COMPUTER ENGR,355,Electromechanical Energy Conversion
College of Engineering,ELECTRICAL AND COMPUTER ENGR,370,Advanced Laboratory
College of Engineering,ELECTRICAL AND COMPUTER ENGR,376,Electrical and Electronic Circuits
College of Engineering,ELECTRICAL AND COMPUTER ENGR,377,Fundamentals of Electrical and Electro-mechanical Power Conversion
College of Engineering,ELECTRICAL AND COMPUTER ENGR,399,Independent Study
College of Engineering,ELECTRICAL AND COMPUTER ENGR,412,Power Electronic Circuits
College of Engineering,ELECTRICAL AND COMPUTER ENGR,420,Electromagnetic Wave Transmission
College of Engineering,ELECTRICAL AND COMPUTER ENGR,434,Photonics
College of Engineering,ELECTRICAL AND COMPUTER ENGR,435,Introduction to Cryptography 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,437,Communication Systems II
College of Engineering,ELECTRICAL AND COMPUTER ENGR,445,Semiconductor Physics and Devices
College of Engineering,ELECTRICAL AND COMPUTER ENGR,453,Embedded Microprocessor System Design 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,489,Honors in Research
College of Engineering,ELECTRICAL AND COMPUTER ENGR,491,Senior Design Project
College of Engineering,ELECTRICAL AND COMPUTER ENGR,504,Electric Machine & Drive System Laboratory 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,525,Introduction to Plasmas 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,527,Plasma Confinement and Heating 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,537,Communication Networks
College of Engineering,ELECTRICAL AND COMPUTER ENGR,545,Advanced Microwave Measurements for Communications
College of Engineering,ELECTRICAL AND COMPUTER ENGR,549,Integrated Circuit Fabrication Laboratory 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,551,Digital System Design and Synthesis
College of Engineering,ELECTRICAL AND COMPUTER ENGR,552,Introduction to Computer Architecture ECE/
College of Engineering,ELECTRICAL AND COMPUTER ENGR,554,Digital Engineering Laboratory 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,555,Digital Circuits and Components 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,556,Design Automation of Digital Systems ECE/
College of Engineering,ELECTRICAL AND COMPUTER ENGR,600,Seminar in Electrical and Computer Engineering 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,630,All of Signal Processing 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,699,Advanced Independent Study
College of Engineering,ELECTRICAL AND COMPUTER ENGR,702,Graduate Cooperative Education Program 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,711,Dynamics and Control of AC Drives
College of Engineering,ELECTRICAL AND COMPUTER ENGR,714,Utility Application of Power Electronics 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,719,Optimal Systems 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,724,Waves and Instabilities in Plasmas 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,726,Plasma Magnetohydrodynamics 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,735,Signal Synthesis and Recovery Techniques 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,736,Wireless Communications 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,738,Advanced Digital Image Processing 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,741,Semiconductor Diode Lasers and other Optoelectronic Devices 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,742,Computational Methods in Electromagnetics 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,752,Advanced Computer Architecture I
College of Engineering,ELECTRICAL AND COMPUTER ENGR,753,Fault-Tolerant Computing
College of Engineering,ELECTRICAL AND COMPUTER ENGR,757,Advanced Computer Architecture II
College of Engineering,ELECTRICAL AND COMPUTER ENGR,830,Estimation and Decision Theory 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,841,Electromagnetic Radiation and Transmission
College of Engineering,ELECTRICAL AND COMPUTER ENGR,901,Special Topics in Communications
College of Engineering,ELECTRICAL AND COMPUTER ENGR,905,Special Topics in Power Systems 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,922,Seminar in Plasma Physics 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,990,Research or Thesis
College of Engineering,ELECTRICAL AND COMPUTER ENGR,999,Advanced Independent Study
College of Engineering,ELECTRICAL AND COMPUTER ENGR,476,Introduction to Scientific Computing for Engineering Physics 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,568,Research Practicum in Engineering Physics I
College of Engineering,ELECTRICAL AND COMPUTER ENGR,569,Research Practicum in Engineering Physics II
College of Engineering,ELECTRICAL AND COMPUTER ENGR,201,Statics
College of Engineering,ELECTRICAL AND COMPUTER ENGR,202,Dynamics
College of Engineering,ELECTRICAL AND COMPUTER ENGR,303,Mechanics of Materials
College of Engineering,ELECTRICAL AND COMPUTER ENGR,307,Mechanics of Materials Lab
College of Engineering,ELECTRICAL AND COMPUTER ENGR,395,Materials for Constructed Facilities
College of Engineering,ELECTRICAL AND COMPUTER ENGR,405,Practicum in Finite Elements 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,476,Introduction to Scientific Computing for Engineering Physics 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,489,Honors in Research
College of Engineering,ELECTRICAL AND COMPUTER ENGR,508,Composite Materials
College of Engineering,ELECTRICAL AND COMPUTER ENGR,519,Fracture Mechanics
College of Engineering,ELECTRICAL AND COMPUTER ENGR,522,Aerodynamics Lab 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,523,Flight Dynamics and Control 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,545,Mechanical Vibrations 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,548,Engineering Analysis II A year of math beyond calculus 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,550,Astrodynamics 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,569,Senior Design Project 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,599,Independent Study 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,611,Advanced Mechanical Testing of Materials 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,642,Satellite Dynamics 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,708,Advanced Composite Materials
College of Engineering,ELECTRICAL AND COMPUTER ENGR,890,Pre-Dissertator Research 
College of Engineering,ELECTRICAL AND COMPUTER ENGR,990,Research and Thesis Dissertator status 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,151,Technical Information Resources 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,155,Basic Communication 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,199,Freshman Independent Study 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,265,Teams and the Engineering Profession 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,275,Technical Presentations 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,299,Sophomore Independent Study
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,332,Basic Technical Japanese II 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,375,Intermediate Technical Japanese II
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,377,Business Japanese Communication
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,397,Technical Communication
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,398,Technical Communications Internship 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,399,Junior Independent Study
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,450,Japanese for Politics and Government 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,470,Engineering Problem Solving with Computers 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,497,Technical Editing 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,499,Senior Independent Study
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,518,Quality Engineering and Quality Management 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,530,Advanced Technical Japanese Seminar 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,617,Communicating Technical Information 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,618,Applied Leadership and Management of Engineering Organizations 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,622,Engine Design I 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,624,Engine Performance and Combustion 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,627,Perspectives on Engine Modeling 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,630,Research in Japanese Technical Literature 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,654,Teaching in Science and Engineering 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,661,Industrial Ecology: Sustainability Tools in Context Acceptance in the ME-Sustainable Systems Engineering program 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,663,Engineering Sustainability and Society Seminar and Conference 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,690,Special Topics in Engineering Professional Development 
College of Engineering,ENGR PROFESSIONAL DEVELOPMENT,699,Independent Study 
College of Engineering,GEOLOGICAL ENGINEERING,171,Introduction to Geological Engineering
College of Engineering,GEOLOGICAL ENGINEERING,291,Problem Solving Using Computer Tools
College of Engineering,GEOLOGICAL ENGINEERING,330,Soil Mechanics
College of Engineering,GEOLOGICAL ENGINEERING,350,Introduction to Geophysics: The Dynamic Earth
College of Engineering,GEOLOGICAL ENGINEERING,370,Elementary Petrology
College of Engineering,GEOLOGICAL ENGINEERING,401,Special Topics in Geological Engineering 
College of Engineering,GEOLOGICAL ENGINEERING,455,Structural Geology
College of Engineering,GEOLOGICAL ENGINEERING,474,Rock Mechanics 
College of Engineering,GEOLOGICAL ENGINEERING,479,Geological Engineering Design 
College of Engineering,GEOLOGICAL ENGINEERING,489,Honors in Research 
College of Engineering,GEOLOGICAL ENGINEERING,629,Contaminant Hydrogeology 
College of Engineering,GEOLOGICAL ENGINEERING,635,Remediation Geotechnics 
College of Engineering,GEOLOGICAL ENGINEERING,699,Independent Study 
College of Engineering,GEOLOGICAL ENGINEERING,732,Unsaturated Soil Geoengineering 
College of Engineering,GEOLOGICAL ENGINEERING,900,Seminar 
College of Engineering,GEOLOGICAL ENGINEERING,990,Research and Thesis 
College of Engineering,GEOLOGICAL ENGINEERING,999,Independent Work 
College of Engineering,GEOLOGICAL ENGINEERING,313,Engineering Economic Analysis
College of Engineering,GEOLOGICAL ENGINEERING,315,Production Planning and Control
College of Engineering,GEOLOGICAL ENGINEERING,320,Simulation and Probabilistic Modeling
College of Engineering,GEOLOGICAL ENGINEERING,321,Simulation Modeling Laboratory
College of Engineering,GEOLOGICAL ENGINEERING,323,Operations Research-Deterministic Modeling
College of Engineering,GEOLOGICAL ENGINEERING,349,Introduction to Human Factors
College of Engineering,GEOLOGICAL ENGINEERING,350,Junior Design Laboratory
College of Engineering,GEOLOGICAL ENGINEERING,389,Honors in Research 
College of Engineering,GEOLOGICAL ENGINEERING,476,Industrial Engineering Projects
College of Engineering,GEOLOGICAL ENGINEERING,489,Honors in Research 
College of Engineering,GEOLOGICAL ENGINEERING,525,Linear Programming Methods 
College of Engineering,GEOLOGICAL ENGINEERING,559,Patient Safety and Error Reduction in Healthcare 
College of Engineering,GEOLOGICAL ENGINEERING,564,Occupational Ergonomics and Biomechanics
College of Engineering,GEOLOGICAL ENGINEERING,574,Methods for Probabilistic Risk Analysis of Nuclear Power Plants 
College of Engineering,GEOLOGICAL ENGINEERING,608,Safety and Quality in the Medication Use System D
College of Engineering,GEOLOGICAL ENGINEERING,617,Health Information Systems 
College of Engineering,GEOLOGICAL ENGINEERING,620,Simulation Modeling and Analysis
College of Engineering,GEOLOGICAL ENGINEERING,632,Introduction to Stochastic Processes 
College of Engineering,GEOLOGICAL ENGINEERING,635,Tools and Environments for Optimization 
College of Engineering,GEOLOGICAL ENGINEERING,662,Design and Human Disability and Aging 
College of Engineering,GEOLOGICAL ENGINEERING,691,Special Topics in Industrial Engineering 
College of Engineering,GEOLOGICAL ENGINEERING,699,Advanced Independent Study
College of Engineering,GEOLOGICAL ENGINEERING,702,Graduate Cooperative Education Program 
College of Engineering,GEOLOGICAL ENGINEERING,719,Stochastic Programming
College of Engineering,GEOLOGICAL ENGINEERING,720,Integer Programming
College of Engineering,GEOLOGICAL ENGINEERING,729,Behavioral Analysis of Management Decision Making
College of Engineering,GEOLOGICAL ENGINEERING,816,Special Topics in Systems Design
College of Engineering,GEOLOGICAL ENGINEERING,875,Assessment of Medical Technologies 
College of Engineering,GEOLOGICAL ENGINEERING,990,Research and Thesis
College of Engineering,GEOLOGICAL ENGINEERING,999,Advanced Independent Study
College of Engineering,GEOLOGICAL ENGINEERING,150,Directed Studies in Engineering Foundation Courses
College of Engineering,GEOLOGICAL ENGINEERING,160,Introduction to Engineering Design
College of Engineering,GEOLOGICAL ENGINEERING,413,Current Issues in International Engineering
College of Engineering,GEOLOGICAL ENGINEERING,601,Topics in Interdisciplinary Engineering 
College of Engineering,GEOLOGICAL ENGINEERING,650,Women and Leadership in Medicine/ Science and Engineering
College of Engineering,GEOLOGICAL ENGINEERING,331,Transport Phenomena in Materials
College of Engineering,GEOLOGICAL ENGINEERING,350,Introduction to Materials Science 
College of Engineering,GEOLOGICAL ENGINEERING,352,Materials Science-Transformation of Solids
College of Engineering,GEOLOGICAL ENGINEERING,401,Special Topics in Materials Science and Engineering
College of Engineering,GEOLOGICAL ENGINEERING,421,Polymeric Materials
College of Engineering,GEOLOGICAL ENGINEERING,474,Rock Mechanics 
College of Engineering,GEOLOGICAL ENGINEERING,530,Thermodynamics of Solids
College of Engineering,GEOLOGICAL ENGINEERING,553,Nanomaterials & Nanotechnology
College of Engineering,GEOLOGICAL ENGINEERING,699,Independent Study
College of Engineering,GEOLOGICAL ENGINEERING,702,Graduate Cooperative Education Program 
College of Engineering,GEOLOGICAL ENGINEERING,750,Imperfections and Mechanical Properties 
College of Engineering,GEOLOGICAL ENGINEERING,760,Molecular Dynamics and Monte Carlo Simulations in Materials Science 
College of Engineering,GEOLOGICAL ENGINEERING,803,Special Topics in Materials Science 
College of Engineering,GEOLOGICAL ENGINEERING,900,Materials Research Seminar Intended for/ but not limited to/ 
College of Engineering,GEOLOGICAL ENGINEERING,990,Research and Thesis 
College of Engineering,MECHANICAL ENGINEERING,160,Architectural Graphics
College of Engineering,MECHANICAL ENGINEERING,170,Civil Engineering Graphics 
College of Engineering,MECHANICAL ENGINEERING,231,Introductory Engineering Graphics 
College of Engineering,MECHANICAL ENGINEERING,240,Dynamics 
College of Engineering,MECHANICAL ENGINEERING,291,Ungergraduate Mechanical Engineering Projects 
College of Engineering,MECHANICAL ENGINEERING,299,Independent Study 
College of Engineering,MECHANICAL ENGINEERING,306,Mechanics of Materials 
College of Engineering,MECHANICAL ENGINEERING,313,Manufacturing Processes
College of Engineering,MECHANICAL ENGINEERING,314,Manufacturing Fundamentals
College of Engineering,MECHANICAL ENGINEERING,331,Geometric Modeling for Engineering Applications
College of Engineering,MECHANICAL ENGINEERING,340,Introduction to Dynamic Systems
College of Engineering,MECHANICAL ENGINEERING,342,Design of Machine Elements
College of Engineering,MECHANICAL ENGINEERING,349,Engineering Design Projects
College of Engineering,MECHANICAL ENGINEERING,351,Interdisciplinary Experiential Design Projects I
College of Engineering,MECHANICAL ENGINEERING,352,Interdisciplinary Experiential Design Projects II
College of Engineering,MECHANICAL ENGINEERING,361,Thermodynamics
College of Engineering,MECHANICAL ENGINEERING,363,Fluid Dynamics
College of Engineering,MECHANICAL ENGINEERING,364,Elementary Heat Transfer
College of Engineering,MECHANICAL ENGINEERING,368,Engineering Measurements and Instrumentation
College of Engineering,MECHANICAL ENGINEERING,370,Energy Systems Laboratory
College of Engineering,MECHANICAL ENGINEERING,418,Engineering Design with Polymers
College of Engineering,MECHANICAL ENGINEERING,441,Rheology of Foods and Biomaterials
College of Engineering,MECHANICAL ENGINEERING,447,Computer Control of Machines and Processes
College of Engineering,MECHANICAL ENGINEERING,450,Design and Dynamics of Vehicles
College of Engineering,MECHANICAL ENGINEERING,461,Thermal Systems Modeling
College of Engineering,MECHANICAL ENGINEERING,462,Welding Metallurgy
College of Engineering,MECHANICAL ENGINEERING,466,Air Pollution Effects/ Measurements and Control 
College of Engineering,MECHANICAL ENGINEERING,476,Engineering Principles of Off-Road Vehicles
College of Engineering,MECHANICAL ENGINEERING,489,Honors in Research
College of Engineering,MECHANICAL ENGINEERING,491,Mechanical Engineering Projects I
College of Engineering,MECHANICAL ENGINEERING,492,Mechanical Engineering Projects II
College of Engineering,MECHANICAL ENGINEERING,508,Composite Materials
College of Engineering,MECHANICAL ENGINEERING,520,Two-Phase Flow and Heat Transfer
College of Engineering,MECHANICAL ENGINEERING,564,Heat Transfer
College of Engineering,MECHANICAL ENGINEERING,601,Special Topics in Mechanical Engineering 
College of Engineering,MECHANICAL ENGINEERING,603,Topics in Bio-Medical Engineering
College of Engineering,MECHANICAL ENGINEERING,641,Design and Analysis of Manufacturing Systems
College of Engineering,MECHANICAL ENGINEERING,699,Advanced Independent Study
College of Engineering,MECHANICAL ENGINEERING,708,Advanced Composite Materials
College of Engineering,MECHANICAL ENGINEERING,718,Modeling and Simulation in Polymer Processing
College of Engineering,MECHANICAL ENGINEERING,747,Advanced Computer Control of Machines and Processes
College of Engineering,MECHANICAL ENGINEERING,748,Optimum Design of Mechanical Elements and Systems
College of Engineering,MECHANICAL ENGINEERING,753,Friction/ Lubrication and Wear
College of Engineering,MECHANICAL ENGINEERING,774,Chem Kinetics of Combust Systems
College of Engineering,MECHANICAL ENGINEERING,890,PhD Research and Thesis
College of Engineering,MECHANICAL ENGINEERING,903,Graduate Seminar 
College of Engineering,MECHANICAL ENGINEERING,990,Dissertator Research and Thesis
College of Engineering,MECHANICAL ENGINEERING,999,Advanced Independent Study
College of Engineering,MECHANICAL ENGINEERING,231,Survey of Nuclear Engineering 
College of Engineering,MECHANICAL ENGINEERING,405,Nuclear Reactor Theory 
College of Engineering,MECHANICAL ENGINEERING,408,Ionizing Radiation 
College of Engineering,MECHANICAL ENGINEERING,412,Nuclear Reactor Design 
College of Engineering,MECHANICAL ENGINEERING,427,Nuclear Instrumentation Laboratory
College of Engineering,MECHANICAL ENGINEERING,428,Nuclear Reactor Laboratory 
College of Engineering,MECHANICAL ENGINEERING,489,Honors in Research
College of Engineering,MECHANICAL ENGINEERING,506,Monte Carlo Radiation Transport 
College of Engineering,MECHANICAL ENGINEERING,520,Two-Phase Flow and Heat Transfer
College of Engineering,MECHANICAL ENGINEERING,525,Introduction to Plasmas 
College of Engineering,MECHANICAL ENGINEERING,526,Laboratory Course in Plasmas 
College of Engineering,MECHANICAL ENGINEERING,527,Plasma Confinement and Heating 
College of Engineering,MECHANICAL ENGINEERING,569,Health Physics 
College of Engineering,MECHANICAL ENGINEERING,571,Economic and Environmental Aspects of Nuclear Energy
College of Engineering,MECHANICAL ENGINEERING,574,Methods for Probabilistic Risk Analysis of Nuclear Power Plants 
College of Engineering,MECHANICAL ENGINEERING,699,Advanced Independent Study
College of Engineering,MECHANICAL ENGINEERING,724,Waves and Instabilities in Plasmas
College of Engineering,MECHANICAL ENGINEERING,726,Plasma Magnetohydrodynamics 
College of Engineering,MECHANICAL ENGINEERING,922,Seminar in Plasma Physics 
College of Engineering,MECHANICAL ENGINEERING,990,Research and Thesis
